,long,lat
25,-73.58037458,45.48357117
36,-73.58760754,45.47687504
135,-73.50913788,45.5888566
150,-73.51133467,45.59389697
165,-73.51220119,45.60015852
182,-73.53577903,45.59459623
201,-73.52986338,45.6026998
260,-73.52652063,45.60918937
277,-73.52197291,45.59744947
282,-73.52123122,45.59870883
375,-73.5172328,45.60536211
384,-73.5210617,45.59990042
418,-73.52066022,45.60197648
420,-73.52058403,45.59975554
423,-73.52045797,45.59996864
459,-73.53505089,45.6049047
481,-73.53071197,45.60426446
522,-73.54824168,45.57419753
535,-73.54698631,45.57576079
539,-73.54666753,45.57638541
547,-73.54540916,45.57784436
576,-73.54366583,45.58042584
612,-73.53936666,45.58165874
674,-73.53626304,45.57214764
702,-73.55797917,45.5932048
718,-73.56177224,45.58537663
721,-73.56222622,45.58624652
745,-73.56072145,45.58709794
836,-73.5450122,45.58057352
840,-73.54428639,45.58152601
852,-73.57020878,45.57304371
908,-73.57547895,45.57908983
909,-73.57468811,45.58017276
975,-73.57903149,45.56304099
984,-73.57906788,45.56377424
987,-73.57600951,45.56622773
992,-73.57594381,45.56633071
1003,-73.57570126,45.5675434
1013,-73.57875272,45.56403118
1019,-73.57796764,45.56417884
1027,-73.57722699,45.56514783
1066,-73.56759352,45.57070645
1069,-73.56733143,45.57106816
1079,-73.55770419,45.57301751
1311,-73.62647203,45.57091415
1313,-73.62626887,45.57081827
1341,-73.62184724,45.56890136
1391,-73.61464534,45.56633622
1406,-73.60959305,45.56505532
1413,-73.60921071,45.56548257
1516,-73.65940165,45.55250175
1550,-73.66940321,45.55244867
1555,-73.66888496,45.55341559
1570,-73.65162585,45.55828622
1590,-73.67043775,45.55479705
1594,-73.6705781,45.55529562
1595,-73.67110544,45.55546994
1603,-73.66791331,45.55632817
1608,-73.66827886,45.55726984
1615,-73.67087657,45.55488287
1617,-73.67002451,45.55554777
1630,-73.66638302,45.55883159
1637,-73.66508489,45.56069703
1659,-73.64564748,45.5485226
1670,-73.64242454,45.54752523
1674,-73.64191032,45.54746244
1687,-73.64528205,45.548803
1693,-73.64186628,45.54736396
1712,-73.64707942,45.5492616
1753,-73.63755937,45.55878967
1754,-73.63736012,45.55876273
1786,-73.67387912,45.54596159
1833,-73.67125231,45.54917339
1873,-73.59933204,45.55963492
1878,-73.60124093,45.5603676
1982,-73.59396239,45.55758829
1990,-73.5953908,45.55801543
2025,-73.592097,45.55984615
2043,-73.59082724,45.56782302
2060,-73.65027509,45.49701758
2073,-73.63768477,45.48789175
2107,-73.63040106,45.49983467
2109,-73.63052205,45.49986431
