,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
0,Chapelle historique du Bon-Pasteur,https://montreal.ca/lieux/chapelle-historique-du-bon-pasteur,La Chapelle du Bon-Pasteur est reconnue pour son accessibilité et sa programmation qui laisse une grande place aux jeunes artistes. Elle est un modèle de démocratisation de la musique classique.La réservation de billets en ligne est obligatoire.Choisissez votre concert dans le calendrier plus bas et et cliquez pour un accès à la billetterie.,2021-05-13,2023-12-20,Ville-Marie,Culturels et communautaires,Centre culturel,,,"Accessible en fauteuil roulant,Ascenseur,Toilettes accessibles",Culture et sports,Offre limitée d'activités, ,,,,numéro: 5148725338,chapelle@montreal.ca,Chapelle historique du Bon-Pasteur,"1920, rue Baile",Centre Canadien d'Architecture,H3H2S6,Montréal,-73.578662,45.491008,298651.6,5039012.4
1,Maison culturelle et communautaire de Montréal-Nord,https://montreal.ca/lieux/maison-culturelle-et-communautaire-de-montreal-nord,"Les activités présentées par la Maison culturelle et communautaire (MCC) sont gratuites. Des laissez-passer sont requis pour toutes les activités, sauf pour celles avec entrée libre.Les citoyens et citoyennes de Montréal peuvent se procurer dans les 14 jours avant la représentation, deux laissez-passer par personne pour les activités pour adultes et un maximum de six pour les activités pour la famille.Note – Les laissez-passer sont valides jusqu’à 10 minutes avant la représentation. Ceux qui restent pourront être distribués sur place au moment de l’activité.Comment se procurer des laissez-passer :En ligne : lepointdevente.com/mtlnordPar téléphone : 514 375-6054Renseignements : 514 328-4000, poste 5630 ou culture.mn@montreal.ca",2019-08-22,2023-12-21,Montréal-Nord,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Stationnement gratuit,Toilettes,Wi-Fi gratuit",Ascenseur,Culture et sports,Ouvert," Heures d'ouverture [Lundi, ouverture:08:00, fermeture:21:00,Mardi, ouverture:08:00, fermeture:21:00,Mercredi, ouverture:08:00, fermeture:21:00,Jeudi, ouverture:08:00, fermeture:21:00,Vendredi, ouverture:08:00, fermeture:21:00,Samedi, ouverture:10:00, fermeture:17:00]",,,,numéro: 5143284000 extension: 5630,,Maison culturelle et communautaire de Montréal-Nord,"12004, boulevard Rolland",,H1G3W1,Montréal,-73.62235,45.615812,295257.9,5052886.3
2,Centre culturel et communautaire Henri-Lemieux,https://montreal.ca/lieux/centre-culturel-et-communautaire-henri-lemieux,"En plus de la programmation culturelle, le centre propose de nombreux ateliers et activités de loisirs dans les domaines du sport, de l’art, des langues ou encore de l’informatique.Laissez-passerLes événements gratuits nécessitent un laissez-passer, sauf pour ceux avec entrée libre.BilletterieIl est possible de se procurer des billets en ligne, par téléphone ou en personne.",2019-08-22,2023-11-16,LaSalle,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Rampe d'accès,Zone de débarcadère",Culture et sports,Ouvert," Horaire régulier du bâtiment [Lundi, ouverture:09:00, fermeture:21:00,Mardi, ouverture:09:00, fermeture:21:00,Mercredi, ouverture:09:00, fermeture:21:00,Jeudi, ouverture:09:00, fermeture:21:00,Vendredi, ouverture:09:00, fermeture:21:00,Samedi, ouverture:10:00, fermeture:17:00]","Billetterie ouverte du lundi au vendredi, de 12 h à 19 h, et le samedi de 12 h à 16 h",,,numéro: 5143675000,,Centre culturel et communautaire Henri-Lemieux,"7644, rue Édouard",Théâtre du Grand Sault et galerie Les Trois C,H8P1T3,Montréal,-73.594038,45.430636,297441.9,5032304.6
3,L’Entrepôt - maison de la culture de Lachine,https://montreal.ca/lieux/lentrepot-maison-de-la-culture-de-lachine,"Construit dans les années 1860, cet entrepôt de pierre de l’ancienne Brasserie Dawes abrite maintenant une salle de spectacle d’une qualité scénographique et acoustique de haut niveau. Au rez-de-chaussée et dans les salles voûtées du sous-sol, on y présente également des expositions. Elle est située dans le complexe culturel Guy-Descary qui comprend également la maison du Brasseur et la Vieille-Brasserie-Dawes.Spectacles De grands noms de la chanson, du théâtre et de l’humour se produisent sur la scène de L’Entrepôt.  Consultez la programmation. Ciné-club Tous les lundis soirs, de septembre à juin, une sélection de long-métrages récents est présentée.  6,50 $/billet. Consultez la programmation.ExpositionsLe bâtiment abrite aussi une salle d’exposition où sont présentées, toute l’année, des œuvres d’artistes multidisciplinaires. L’entrée est gratuite. Consultez la programmation.Billetterie (spectacles et ciné-club) Achetez vos billets en ligne ou en personne : Maison du brasseurBureau Accès Montréal - LachineBibliothèque Saul-BellowBibliothèque de Saint-PierreUn rabais de 10 % sur le prix régulier est offert sur présentation de la carte Accès Montréal pour les achats en personne (ne s’applique pas aux récitals de la série Notes et brioches).À l’achat de billets pour quatre spectacles, obtenez 15 % de rabais sur le prix régulier (ne s’applique pas aux spectacles jeunesse, à la série Notes et brioches et au ciné-club)LocationLieu idéal pour y tenir des galas et des colloques, La salle de spectacle de la maison de la culture est disponible pour location.   Salle écoresponsableDepuis quelques années, une démarche de développement durable est en cours à L’Entrepôt.  La salle détient l’accréditation Scène écoresponsable, niveau or du Conseil québécois des événements écoresponsables pour ses différentes actions comme le banissement des bouteilles d’eau, la réduction des imprimés et la promotion de l’achat en ligne.",2019-08-22,2023-12-12,Lachine,Culturels et communautaires,Centre culturel,,"Air climatisé,Borne de recharge voiture,Fontaine d'eau potable,Stationnement gratuit,Support à vélo,Toilettes,Wi-Fi gratuit","Ascenseur,Rampe d'accès,Stationnement accessible",Culture et sports,Ouvert, ,,,"Argent comptant,Carte de crédit (MasterCard, Visa),Carte de débit",numéro: 5146392247,entrepotdelachine@montreal.ca,L’Entrepôt - maison de la culture de Lachine,"2901, boulevard Saint-Joseph",,H8S4B7,Montréal,-73.68961,45.433338,289964.5,5032618.0
4,Parc du Vieux-Moulin de Pointe-aux-Trembles,https://montreal.ca/lieux/parc-du-vieux-moulin-de-pointe-aux-trembles,"Ce moulin à vent, construit entre 1719-1721, est l’un des plus anciens du Québec.Il a été construit par les Sulpiciens, communément appelés les seigneurs de l’Île de Montréal, qui l’ont fait ériger par le maître maçon Deguire afin de remplacer le premier moulin qui avait été la proie de la crue des eaux. L’objectif du moulin était non seulement de moudre les grains apportés par les colons, mais aussi de servir comme forteresse en cas d’attaques.Le moulin à vent est un actif exceptionnel du Vieux-Pointe-aux-Trembles. Ce bien culturel a le statut de bien archéologique classé depuis 1983 par le ministère de la Culture et des Communications du Québec.En 2007, la Ville de Montréal a amorcé une démarche de mise en valeur du parc du Vieux-Moulin, achevée en 2008. L’exercice comprenait la restauration du bâtiment patrimonial, l’aménagement du site en tant qu’espace public et l’établissement de contenus culturels à des fins d’activités d’interprétation et d’animation au bénéfice de la population. Cette importante opération de réhabilitation d’un témoin historique de l’occupation du territoire a permis de faire du parc du Vieux-Moulin l’un des principaux pôles d’attraction pour les visiteurs et les résidents.Ainsi, l’imposante présence du moulin restauré marque l’entrée au Vieux-Pointe-aux-Trembles.",2019-08-22,2023-10-10,Rivière-des-Prairies–Pointe-aux-Trembles,Culturels et communautaires,Centre culturel,,Wi-Fi gratuit,,Culture et sports,Ouvert, Horaire du Vieux-Moulin [],Le Vieux-Moulin est fermé jusqu'à l'été 2024 mais il est toujours possible de visiter le parc et l'exposition extérieure qui s'y retrouve.,,,numéro: 5148722240,,Parc du Vieux-Moulin de Pointe-aux-Trembles,"11630, rue Notre-Dame Est",,H1B2X5,Montréal,-73.492515,45.634673,305383.6,5054975.1
5,Salle de diffusion de Parc-Extension,https://montreal.ca/lieux/salle-de-diffusion-de-parc-extension,"L’équipe de la salle de diffusion est aussi responsable de la programmation Hors les murs des quartiers de Saint-Michel et de Parc-Extension.Consultez l’ensemble de notre programmation culturelle ci-dessous, présentée dans notre salle.Engagement écoresponsableNotre salle de diffusion a obtenu la certification or comme lieu de spectacle écoresponsable.BilletterieTous les événements sont gratuits. L’entrée est libre pour visiter les expositions.Où se procurer des laissez-passer?À partir de 14 jours avant l’événement et jusqu’à ce qu’il affiche complet.1. En ligne dans la section Calendrier2. Par téléphone, pour les gens n’ayant pas accès à un ordinateur.Si le spectacle affiche complet, des laissez-passer peuvent être remis quelques minutes avant l’événement, sous réserve du nombre de sièges disponibles.Guide d’accès visuel de la salle de diffusion de Parc-Extension",2019-08-22,2024-01-04,Villeray–Saint-Michel–Parc-Extension,Culturels et communautaires,Centre culturel,,"Air climatisé,Borne de réparation de vélo,Support à vélo,Wi-Fi gratuit",Accessible en fauteuil roulant avec assistance,Culture et sports,Ouvert," Heures d'ouverture durant les expositions [Mercredi, ouverture:13:00, fermeture:18:00,Jeudi, ouverture:13:00, fermeture:18:00,Vendredi, ouverture:13:00, fermeture:18:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,Les billets sont valides jusqu’à 10 minutes avant l’événement.Respecter les limites d’âge indiquées pour les enfants.,,numéro: 5148728124,,Salle de diffusion de Parc-Extension,"421, rue Saint-Roch",,H3N1K2,Montréal,-73.628874949423,45.531428834242,294734.0,5043509.4
6,Maison de la culture de Rosemont–La Petite-Patrie,https://montreal.ca/lieux/maison-de-la-culture-de-rosemont-la-petite-patrie,"Le centre culturel présente des spectacles, des conférences et des expositions.CalendrierConsulter dès maintenant l’ensemble de notre programmation culturelle, présentée dans divers lieux de l’arrondissement (y compris hors les murs).",2019-08-22,2024-01-10,Rosemont–La Petite-Patrie,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Support à vélo,Table à langer,Toilettes,Wi-Fi gratuit","Ascenseur,Rampe d'accès",Culture et sports,Ouvert," Horaire [Mercredi, ouverture:13:00, fermeture:18:00,Jeudi, ouverture:13:00, fermeture:18:00,Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,,,numéro: 5148721730,,Maison de la culture de Rosemont–La Petite-Patrie,"6707, avenue De Lorimier",,H2G2P8,Montréal,-73.598139,45.54742,297136.9,5045283.2
7,Maison de la culture Mercier,https://montreal.ca/lieux/maison-de-la-culture-mercier,"Surnommée « la petite Place des Arts de l’est de Montréal », la maison de la culture Mercier accueille de nombreux spectacles, ateliers et activités dans sa salle d’exposition, son studio multifonctionnel et sa salle de spectacle.À découvrirProgrammation hiver-printemps 2024Plan directeur culturel de MHM",2019-08-22,2024-01-11,Mercier–Hochelaga-Maisonneuve,Culturels et communautaires,Centre culturel,,"Air climatisé,Produits menstruels gratuits,Toilettes,Wi-Fi gratuit",Rampe d'accès,Culture et sports,Ouvert," Horaire [Mercredi, ouverture:13:00, fermeture:19:00,Jeudi, ouverture:13:00, fermeture:19:00,Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,,"Argent comptant,Carte de crédit (MasterCard, Visa),Carte de débit",numéro: 5148728755,,Maison de la culture Mercier,"8105, rue Hochelaga",,H1L2K9,Montréal,-73.523843,45.595475,302939.8,5050619.2
8,Maison de la culture Marie-Uguay,https://montreal.ca/lieux/maison-de-la-culture-marie-uguay,"La maison de la culture Marie-Uguay est un lieu de rendez-vous des artistes en émergence ou des grands noms de la chanson. Toute l’année, elle offre des événements culturels qui permettent de découvrir des œuvres de toutes disciplines artistiques et de nouvelles formes d’art.Engagement écoresponsableLa maison de la culture Marie-Uguay est fière de l’obtention de la certification OR suite à son accréditation comme Scène écoresponsable. Lire le communiqué.40 e anniversaireLa maison de la culture Marie-Uguay remercie les citoyens et citoyennes qui ont célébré avec elle son 4oe anniversaire et les invite à revivre les moments clés de cette programmation unique en visionnant cette vidéo.BilletterieTous les événements sont gratuits, sauf indication contraire.L’entrée est libre pour visiter les expositions.Les laissez-passer pour les spectacles sont disponibles deux semaines avant la date de l’activité à la maison de la culture, dans les quatre bibliothèques de l’arrondissement ou en ligne, sur le site Internet marieuguay.tuxedobillet.com (frais de service 2$ par billet).- Bibliothèque Réjean-Ducharme- Bibliothèque Marie-Uguay- Bibliothèque Saint-Henri- Bibliothèque Saint-CharlesLes laissez-passer sont disponibles à raison de deux par personne et par adresse.Pour les spectacles destinés au jeune public : quatre laissez-passer par famille.Chaque laissez-passer donne droit à une place, et ce, jusqu’à 10 minutes avant le début du spectacle. En cas de retard, l’usager ne pourra pas se prévaloir de son laissez-passer.Plans de la salle de spectacleLes fichiers suivants s’adressent aux artistes et concepteurs désirant travailler sur les plans de la salle de spectacle de la maison de la culture Marie-Uguay. Vue de plan du studio Marie-Uguay [876,6 ko - 1 page]Vue de coupe du studio Marie-Uguay[52,2 ko - 1 page]Devis technique[232,8 ko - 5 pages]Plan de Marie-Uguay [226 ko - 1 page]Plan de studio Marie-UguayRestez à l’affûtEnvie de savoir tout ce qui se passe à la Maison de la culture Marie-Uguay? Ou d’avoir accès aux dernières nouveautés de la programmation culturelle en cours? Suivez-nous sur Facebook et abonnez-vous à notre nouvelle infolettre culturelle du Sud-Ouest! Vous y trouverez des informations inédites, mais aussi des articles et des concours pour tous les goûts. Le lancement aura lieu prochainement. Restez à l’affût! La culture dans le Sud-Ouest, ça se vit!",2019-08-22,2024-01-03,Le Sud-Ouest,Culturels et communautaires,Centre culturel,,"Air climatisé,Table à langer,Toilettes,Wi-Fi gratuit","Accessible en fauteuil roulant,Adapté aux poussettes,Ascenseur,Porte à ouverture automatique,Rampe d'accès,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Mardi, ouverture:13:00, fermeture:17:00,Mercredi, ouverture:13:00, fermeture:17:00,Jeudi, ouverture:13:00, fermeture:17:00,Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]","La maison de la culture sera fermée les jours fériés suivants : 29 mars, 31 mars, 1er avril, 20 mai, 24 juin, 1er juillet, 2 septembre, 14 octobre et du 24 décembre au 5 janvier 2025 inclusivement.",,,numéro: 5148722044,,Maison de la culture Marie-Uguay,"6052, boulevard Monk",,H4E3H6,Montréal,-73.595584157413,45.457710041642,297324.5,5035313.4
9,Maison de la culture Maisonneuve,https://montreal.ca/lieux/maison-de-la-culture-maisonneuve,"Le bâtiment où elle loge, construit en 1907 selon les plans de l’architecte Charles-Aimé Reeves, a abrité une caserne de pompiers jusqu’au milieu des années 1990. En 2021 et 2022, la maçonnerie, les corniches en métaux ouvrés et les menuiseries en bois ont fait l’objet d’une restauration.À découvrirProgrammation hiver-printemps 2024Plan directeur culturel de MHMScène écoresponsable En symbiose avec la démarche du Plan climat de MHM, la maison de la culture Maisonneuve multiplie les actions et les initiatives pour lutter contre les changements climatiques. Ainsi guidée par la volonté de diminuer son empreinte environnementale, elle a déposé sa candidature et obtenu l’accréditation Scène écoresponsable de niveau bronze en 2022. En favorisant une consommation responsable, en diminuant considérablement les outils promotionnels imprimés, et en proposant une programmation axée sur les artistes de son quartier, la maison de la culture Maisonneuve s’engage à participer activement à la transition écologique. Rappelons que la maison de la culture Maisonneuve est signataire de la charte des artisans de la scène écoresponsable. L’engagement de la maison de la culture Maisonneuve en matière d’écoresponsabilité rejoint une des orientations du Plan directeur culturel de MHM, qui vise le déploiement de l’offre culturelle ancré dans des pratiques davantage respectueuses de l’environnement.",2019-08-22,2024-01-17,Mercier–Hochelaga-Maisonneuve,Culturels et communautaires,Centre culturel,,"Air climatisé,Produits menstruels gratuits,Borne de recharge voiture,Fontaine d'eau potable,Support à vélo,Toilettes,Wi-Fi gratuit","Ascenseur,Rampe d'accès",Culture et sports,Ouvert," Horaire [Mercredi, ouverture:13:00, fermeture:19:00,Jeudi, ouverture:13:00, fermeture:19:00,Vendredi, ouverture:13:00, fermeture:19:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,,,numéro: 5148722200,,Maison de la culture Maisonneuve,"4200, rue Ontario Est",,H1V1K1,Montréal,-73.540236,45.5512,301658.4,5045699.3
