,long,lat
53,-73.567093,45.65493836
88,-73.57318185,45.64457517
104,-73.57643908,45.64779215
151,-73.51151071,45.59420875
183,-73.53543657,45.59482489
192,-73.53475958,45.59550078
209,-73.52231926,45.60199219
230,-73.5244026,45.59429166
261,-73.52647682,45.60926298
344,-73.52890836,45.6062163
361,-73.51847167,45.60329358
425,-73.51578652,45.60964964
480,-73.53077743,45.60418373
510,-73.5359657,45.59186843
565,-73.54318367,45.57294213
582,-73.54217526,45.58328895
598,-73.54036243,45.58679705
636,-73.53867634,45.58276207
640,-73.5388839,45.58234637
641,-73.53891578,45.58229858
686,-73.53542833,45.574206
711,-73.56309307,45.58488659
726,-73.56109453,45.58652851
754,-73.56065278,45.58735587
797,-73.55093129,45.57657138
921,-73.58399202,45.56917818
952,-73.58487923,45.56747972
1011,-73.57821925,45.56400005
1018,-73.57815771,45.56415027
1054,-73.57108494,45.571964
1061,-73.57060853,45.57273941
1095,-73.53990409,45.55269796
1100,-73.5432885,45.55346582
1184,-73.60158885,45.5731667
1188,-73.60503644,45.57200028
1218,-73.62970121,45.57299769
1251,-73.6317779,45.5739521
1273,-73.62780437,45.57149081
1282,-73.62721191,45.57125103
1290,-73.62565647,45.57145495
1315,-73.62593458,45.56851219
1331,-73.62403586,45.56988129
1349,-73.62147048,45.55628747
1357,-73.61891921,45.56761933
1375,-73.61682343,45.56731105
1407,-73.609478,45.56518617
1421,-73.60567045,45.56923532
1456,-73.64043149,45.57027093
1477,-73.66162727,45.56456856
1485,-73.65996586,45.56636939
1499,-73.66688147,45.54945593
1576,-73.65132143,45.55882931
1605,-73.6682356,45.55672083
1713,-73.64626864,45.54863185
1737,-73.64373524,45.55051555
1745,-73.6367888,45.55838279
1801,-73.6653856,45.5484933
2065,-73.64904924,45.49738057
2071,-73.6378435,45.48798127
2116,-73.65693163,45.49332278
2120,-73.65668515,45.49371491
2130,-73.63481755,45.4934051
2153,-73.63532726,45.49355909
2158,-73.63946395,45.49329838
2159,-73.63935955,45.49485398
2179,-73.63766651,45.49467414
2194,-73.6369023,45.49426548
2200,-73.63943947,45.49488808
2207,-73.63749447,45.4950138
2217,-73.64017765,45.49522084
2232,-73.64020086,45.49575738
2237,-73.63709592,45.49544117
2242,-73.63686656,45.49567234
2257,-73.64200584,45.49657104
2272,-73.64360243,45.49723277
2277,-73.64339109,45.49714836
2299,-73.65406246,45.49654543
2322,-73.65108851,45.49631067
2328,-73.64843242,45.49803025
2330,-73.64838584,45.49807674
2435,-73.63177531,45.5004607
2450,-73.63090297,45.48197945
2524,-73.63007129,45.48315003
2546,-73.6270906,45.48553473
2558,-73.62676396,45.4858576
2564,-73.62662428,45.4860335
2568,-73.62632712,45.4864977
2663,-73.62971523,45.48435425
2679,-73.62896199,45.48439559
2698,-73.62841612,45.48399406
2724,-73.62884749,45.48484222
2733,-73.63266379,45.49195338
2737,-73.62592164,45.47262592
2804,-73.6228944,45.4760167
2807,-73.62264075,45.47618434
2840,-73.61724926,45.47011927
2843,-73.61640622,45.47062333
2872,-73.60974249,45.47396269
2911,-73.6228577,45.46725051
2923,-73.60620877,45.47690295
2963,-73.6282467,45.47004266
3025,-73.58258434,45.4578186
3103,-73.59073908,45.45718584
3108,-73.58823338,45.45759679
3109,-73.5881407,45.45843525
3120,-73.58823758,45.45758572
3139,-73.56737262,45.47685121
3195,-73.56293791,45.48253681
3210,-73.56688461,45.48016527
3211,-73.5668317,45.48020633
3214,-73.5647334,45.48098753
3220,-73.56828629,45.47932209
3224,-73.56922972,45.47875984
3234,-73.56990566,45.47890862
3317,-73.582205,45.49214455
3331,-73.58295421,45.49222283
3503,-73.56683877,45.5117052
3510,-73.56517929,45.51024374
3640,-73.56162703,45.50966477
3723,-73.55992209,45.50786734
3733,-73.56037556,45.50814929
3752,-73.56022249,45.50838009
3756,-73.56031122,45.5084245
3765,-73.56042611,45.50851325
3848,-73.55968159,45.50771584
3862,-73.55940707,45.50806864
3878,-73.63120371,45.49171967
3885,-73.63209098,45.49216236
3915,-73.63760482,45.50517695
3920,-73.63638018,45.50312615
3923,-73.63609819,45.50288038
3939,-73.632012,45.501398
3942,-73.63173404,45.50089549
3943,-73.63166987,45.50086686
3952,-73.5405494,45.54048939
4029,-73.56364341,45.52071614
4032,-73.56258556,45.52012661
4056,-73.56038774,45.52396705
4099,-73.56076793,45.51932593
4174,-73.55739295,45.51963947
4192,-73.5509007,45.5340505
4200,-73.5518003,45.5344939
4218,-73.55335145,45.53772675
4233,-73.55470921,45.53056988
4238,-73.55453541,45.53076486
4286,-73.5510201,45.52379291
4290,-73.55155566,45.52402231
4373,-73.56209035,45.52202519
4440,-73.54897527,45.55171271
4454,-73.5509746,45.54795961
4467,-73.54953613,45.5505713
4473,-73.54305548,45.55039162
4514,-73.56253434,45.54494617
