,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
25,{38c7aa68-3f28-47a8-97f7-58214ce21559},SDC,Commerce rue,2023/05/24,3177,rue,,Saint-Jacques,,3177 rue Saint-Jacques ,204,H4C1G7,2e,,Centre dentraire,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,,Non,Non,,,Le Sud-Ouest,Saint-Henri,SDC Les Quartiers du Canal,Grand Sud-Ouest,Non,Non,Non,5038185.044524397,298516.9945157381,45.48357117220176,-73.58037457703072
36,{0bb905e0-e583-4a95-aa79-116b35b1f692},SDC,Commerce rue,2023/05/24,4227,rue,,Saint-Jacques,,4227 rue Saint-Jacques ,,H4C1J4,2e,,Centre dentaire familident ,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,,Non,Non,,,Le Sud-Ouest,Saint-Henri,SDC Les Quartiers du Canal,Grand Sud-Ouest,Non,Non,Non,5037441.494669902,297950.7608382144,45.47687504409597,-73.58760754343167
135,{54b68fc5-b827-42da-b765-4ecb7a9ab605},HORS_SDC,Commerce rue,2023/06/07,7965,rue,,Notre-Dame,E,7965 rue Notre-Dame E,,H1L3K8,RC,,Clinique dentaire Bellerive,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,https://cliniquedentairebellerive.com/,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5049882.43,304087.11,45.58885659681435,-73.50913788083919
150,{75760441-8e84-4f31-86ff-22b3d842156e},HORS_SDC,Commerce rue,2023/06/07,8305,rue,,Notre-Dame,E,8305 rue Notre-Dame E,,H1L3L2,RC,,Le dentiste,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,https://ledentiste.com/,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5050442.6,303915.78,45.59389697319302,-73.51133466796871
165,{9a77208c-1ce7-4842-916a-136a49e634b7},HORS_SDC,Commerce rue,2023/06/07,8772,rue,,Notre-Dame,E,8772 rue Notre-Dame E,,H1L3M3,RC,,Dentisterie familiale,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5051138.47,303848.28,45.60015851919725,-73.51220118542702
182,{e96c1ee9-c773-4895-8d6b-d0410b17c1b8},HORS_SDC,Commerce rue,2023/06/13,7744,rue,,Sherbrooke,E,7744 rue Sherbrooke E,,H1L1A1,2e,,Clinique dentaire hakim,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,https://tacliniquedentaire.com/,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050520.87,302008.66,45.59459622799934,-73.53577902897753
201,{162d1b8a-67c0-489a-8838-bb1876a3763a},HORS_SDC,Commerce rue,2023/06/13,3190,rue,,Baldwin,,3190 rue Baldwin ,A,H1L5C1,Demi sous-sol,,Clinique,F,Services professionnels,46,Professionnels de la santé et assistance sociale,101,Cliniques médicales et médecin,621110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051421.25,302470.53,45.602699799597445,-73.5298633793639
260,{995b5726-611f-43d4-b807-21e944de0e3b},HORS_SDC,Commerce rue,2023/06/13,9200,rue,,Sherbrooke,E,9200 rue Sherbrooke E,,H1L1E5,RC,,Medic-or,F,Services professionnels,46,Professionnels de la santé et assistance sociale,101,Cliniques médicales et médecin,621110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052142.36,302731.53,45.6091893663855,-73.5265206281301
277,{5f8fd3a5-01bc-4eaa-9f26-7538e504d1b2},HORS_SDC,Commerce rue,2023/06/07,8338,rue,,Hochelaga,,8338 rue Hochelaga ,,H1L2L5,RC,,CLINIQUE DENTAIRE DUCHARME,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050837.57,303085.89,45.59744947483836,-73.52197291112927
282,{245f4252-139d-4771-9251-4f63dbcc1ec9},HORS_SDC,Commerce rue,2023/06/07,8470,rue,,Hochelaga,,8470 rue Hochelaga ,,H1L2L9,RC,,CENTRE DENTAIRE MOREAU-BELLAVANCE,F,Services professionnels,46,Professionnels de la santé et assistance sociale,98,Dentiste,621210.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050977.51,303143.79,45.59870883461521,-73.52123122408092
375,{d9c5152b-8c25-47cc-8a46-150312e37308},HORS_SDC,Commerce rue,2023/06/07,9080,rue,,Hochelaga,,9080 rue Hochelaga ,,H1L4L3,RC,,CLINIQUE MÉDICALE HOCHELAGA,F,Services professionnels,46,Professionnels de la santé et assistance sociale,101,Cliniques médicales et médecin,621110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051716.83,303455.88,45.60536211266904,-73.51723280289663
384,{14233025-0ee5-4c81-95c0-651b25d7f3e3},HORS_SDC,Commerce rue,2023/06/07,8569,rue,,Hochelaga,,8569 rue Hochelaga ,,H1L2M2,RC avec escaliers (4 marches et plus),,Polyclinique de l'Est,F,Services professionnels,46,Professionnels de la santé et assistance sociale,101,Cliniques médicales et médecin,621110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051109.93,303157.05,45.59990041817614,-73.52106169949809
418,{c8bd79a1-2b34-48b3-a908-44d5ccec0f64},HORS_SDC,Commerce rue,2023/06/07,2547,rue,,Des Ormeaux,,2547 rue Des Ormeaux ,,H1L4X4,RC,,CLINIQUE MÉDICALE,F,Services professionnels,46,Professionnels de la santé et assistance sociale,101,Cliniques médicales et médecin,621110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Oui,Oui,5051340.64,303188.43,45.60197648397592,-73.52066021527901
