,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
0,Espace Parthenais-Larivière,https://montreal.ca/lieux/espace-parthenais-lariviere,"L’aménagement temporaire créé par Sandra Tannous répond à l’environnement dans lequel il s’inscrit. On y perçoit des références à l’environnement immédiat et à une temporalité passée, soit à l’ancienne piste d’athlétisme de l’école puis au Stade Delorimier, domicile de l’équipe de baseball des Royaux jusqu’en 1960.Les caractéristiques formelles s’inscrivent également en continuité de la palette de couleurs et des formes des Réverbères bleus, intervention artistique réalisée en 2013 par Sandra Tannous elle-même et l’artiste Delphine Quach.",2021-04-19,2022-09-02,Ville-Marie,Parc et jardins,Parc,,Aire de pique-nique,Adapté aux poussettes,Culture et sports,Ouvert, ,,,,,,Espace Parthenais-Larivière,Rue Parthenais,,,Montréal,-73.557974129952,45.530184092602,300271.7,5043364.7
1,Le Bouquiniste,https://montreal.ca/lieux/le-bouquiniste,"Un croque-livre géantCette place héberge durant l’été une structure inspirée d’un grand livre ouvert appelé Le Bouquiniste. L’aménagement inclut une micro bibliothèque et un croque-livre adulte et jeunesse, selon le principe « prenez un livre, donnez-en un ». Une biblio mobileLa biblio mobile d’Ahuntsic-Cartierville sera sur place certains jeudis de juillet et août, de 16 h à 19 h, sauf en cas de pluie. Des livres pour les jeunes et pour les personnes aînées seront mis en valeur. Les prêts et les retours sont effectués de façon automatisée en temps réel, grâce à un ordinateur portable relié au système informatique des bibliothèques.Des activités pour la familleDu 27 juin au 24 août, plusieurs animations seront offertes gratuitement chaque semaine en collaboration avec des organismes du milieu : ateliers d’agriculture urbaine, entretien des bacs et ateliers de création (écriture et photographie). Venez faire un tour!Renseignements sur le projet de bibliothèque et d’espace culturel interarrondissement.",2021-05-31,2023-07-05,"Ahuntsic-Cartierville,Montréal-Nord",Parc et jardins,Parc,,"Aire de pique-nique,Support à vélo,Toilettes",Accessible en fauteuil roulant avec assistance,Culture et sports,Ouvert, ,,,,,,Le Bouquiniste,Angle du boulevard Henri-Bourassa Est et de l'avenue Oscar,,,Montréal,-73.650468681807,45.582960220689,293058.1,5049239.1
2,Parc Beaubien,https://montreal.ca/lieux/parc-beaubien,"Des stations loisirs pour vos activités hivernales Dès le 10 décembre, nous vous prêtons gratuitement de l’équipement pour le patinage. Des animations pourront aussi avoir lieu sur place.Pour en savoir plus",2019-09-17,2022-11-21,Rosemont–La Petite-Patrie,Parc et jardins,Parc,"Tennis,Raquette,Patinage,Hockey,Basketball,Baseball","Module de jeu pour enfants,Support à vélo,Terrain de basketball",Adapté aux poussettes,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Beaubien,"6633, 6e Avenue",,H1Y2X7,Montréal,-73.591607809067,45.553426794776,297647.6,5045950.1
3,Parc Médéric-Archambault,https://montreal.ca/lieux/parc-mederic-archambault,"Vous ne connaissez pas ce parc? Ce n’est pas surprenant. Ce petit parc est actuellement loin d’être invitant pour l’instant avec son boisé dense et le manque d’aménagements.Pourtant, de par sa localisation en bordure de rive, ce parc présente un grand potentiel pour notre entrée de ville.  C’est pourquoi RDP-PAT, dans un souci de verdissement du territoire et en lien avec l’adoption de notre Politique d’agriculture urbaine, a décidé de complètement réaménager ce parc.En effet, l’arrondissement réalisera un projet d’agrandissement majeur du parc afin de le faire passer de 2700 à 23 000 mètres carrés. Le nouveau périmètre longera la rue Notre-Dame sur plusieurs centaines de mètres. Pour tout savoir sur le projet de réaménagement prévu, c’est par ici.",2021-07-15,2023-10-11,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,"Photographie,Observation d'oiseaux",Stationnement gratuit,,Organisation municipale,Ouvert, ,,,,,,Parc Médéric-Archambault,"261, 100e Avenue",,H1A2B9,Montréal,-73.484696748675,45.700920393396,305991.7,5062337.5
4,Promenade Michel-Chartrand,https://montreal.ca/lieux/promenade-michel-chartrand,"Ce lieu rend hommage à Michel Chartrand, figure marquante de la lutte sociale et militant syndical.",2023-02-22,2023-07-25,LaSalle,Parc et jardins,Parc,,,Stationnement accessible,Organisation municipale,Ouvert, ,,,,,,Promenade Michel-Chartrand,Boulevard LaSalle,À l'angle de la 90e Avenue,H8R2N1,LaSalle,-73.644353,45.41707202601893,293502.2,5030803.0
5,Parc des Épinettes,https://montreal.ca/lieux/parc-des-epinettes,Profitez des attraits de la nature ou pratiquer des activités en plein air.,2020-05-26,2021-06-10,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,Module de jeu pour enfants,,Organisation municipale,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc des Épinettes,rue des Épinettes,coin rue des Bois-Francs,,Montréal,-73.507342064992,45.64902412716,304227.7,5056570.0
6,Parc Sainte-Marie,https://montreal.ca/lieux/parc-sainte-marie,"Aire de jeux pour les enfants, jeux d’eau, jeux d’échecs et tables de ping-pong.",2020-06-16,2023-06-29,Ville-Marie,Parc et jardins,Parc,Ping-pong,"Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Table de ping pong",,Organisation municipale,Ouvert, ,,,,numéro: 5148720311,,Parc Sainte-Marie,Rue LaFontaine,,H2K4P9,Montréal,-73.551393,45.529574,300785.7,5043296.5
7,Parc Thomas-Valin,https://montreal.ca/lieux/parc-thomas-valin,"Niché l’extrême est de l’arrondissement de Ville-Marie, le parc a été aménagé selon les principes de permaculture. Vous pouvez y apercevoir une mare, des plantes vivaces et indigènes et vous pouvez y remplir votre gourde.",2023-10-27,2023-10-27,Ville-Marie,Parc et jardins,Parc,,,,Organisation municipale,Ouvert, ,,,,,,Parc Thomas-Valin,Au coin des rues Ontario Est et Lespérance,,H2K1X3,Montréal,-73.54935072931416,45.538172466561065,300945.8,5044252.0
8,Parc Victor-T.-Daubigny,https://montreal.ca/lieux/parc-victor-t-daubigny,"Petit parc cultivé en permaculture, le parc Victor-T.-Daubigny est un petit bout de nature en plein centre-ville, non loin du métro Beaudry, parfait pour relaxer et profiter de la faune et de la flore.",2020-10-05,2024-01-30,Ville-Marie,Parc et jardins,Parc,,,"Adapté aux poussettes,Entrée de plain-pied",Organisation municipale,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,,,,,,-73.562996804893,45.521315753071,299878.6,5042379.4
9,Espace Hawarden,https://montreal.ca/lieux/espace-hawarden,"Situé à 5 minutes à pied du métro Atwater, l’espace Hawarden offre une pause au vert agréable, une boîte de jeux pour les enfants et, selon la saison, des animations gratuites.",2024-01-31,2024-01-31,Ville-Marie,Parc et jardins,Parc,,,,Organisation municipale,Ouvert, ,,,,,,Espace Hawarden,Rue Hawarden,,,Montréal,-73.58078565316062,45.487417208871534,298485.2,5038613.5
