,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
74,{719408b2-c434-42e5-b71a-4a1ea45e8923},HORS_SDC,Commerce rue,2023/06/07,9686,rue,,4e,,9686 4e rue ,,H1E3Y3,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://pharmaciecellinigauvin.ca/,Accès au niveau du sol,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5057252.11,299600.79,45.65515165826229,-73.56671332751603
95,{1fb09b09-85c3-4825-9cb5-69b330e54a2a},HORS_SDC,Commerce rue,2023/06/07,9101,boulevard,,Maurice-Duplessis,,9101 boulevard Maurice-Duplessis ,,H1E6M3,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.jeancoutu.com/localisateur-succursale/montreal-9101-boulevard-maurice-duplessis-h1e-6m3/125/,Accès au niveau du sol,Non,,,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies,,Est-de-l'Île,Non,Non,Non,5056230.85,299250.3,45.64595945047893,-73.57119887091352
145,{ad2684a1-07bb-46f0-a0fe-ce63b5d7bce5},HORS_SDC,Commerce rue,2023/06/07,8255,rue,,Notre-Dame,E,8255 rue Notre-Dame E,,H1L3L2,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.uniprix.com/fr/succursales/desormiers-l-et-khoder-z-montreal,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Beaurivage,,Centre-Est,Non,Non,Non,5050364.55,303933.08,45.5931946785684,-73.51111279196455
191,{b77001fe-003a-4580-a9ad-2d1accf971b4},HORS_SDC,Commerce rue,2023/06/13,7830,rue,,Sherbrooke,E,7830 rue Sherbrooke E,,H1L1A5,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050602.73,302080.41,45.59533311193424,-73.5348598405463
241,{859df27a-8475-4fd2-a051-afe142876a3d},HORS_SDC,Commerce rue,2023/06/07,8327,rue,,Hochelaga,,8327 rue Hochelaga ,,H1L2L6,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,www.groupeproxim.ca,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050838.04,303043.02,45.59745359700352,-73.52252242032309
262,{74b699cf-b1e0-4460-a5ce-868c14236a17},HORS_SDC,Commerce rue,2023/06/13,9210,rue,,Sherbrooke,E,9210 rue Sherbrooke E,,H1L4H8,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052188.77,302737.08,45.60960699225063,-73.52644966971312
374,{1c542f73-bbea-4805-a27c-9d01a27401a1},HORS_SDC,Commerce rue,2023/06/07,9080,rue,,Hochelaga,,9080 rue Hochelaga ,,H1L2N9,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051694.76,303447.84,45.60516350526007,-73.51733581289925
405,{c68d1d56-83eb-4e74-a3e5-0d94c164b9d8},HORS_SDC,Commerce rue,2023/06/07,8697,rue,,Hochelaga,,8697 rue Hochelaga ,,H1L6J5,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,www.jeancoutu.com,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051277.96,303219.9,45.60141254434185,-73.5202565974951
417,{2cd9a4e2-b3b9-4934-92e0-9827a21d5f9b},HORS_SDC,Commerce rue,2023/06/07,2545,rue,,Des Ormeaux,,2545 rue Des Ormeaux ,,H1L4X4,Sous-sol,,PHARMACIE CO.H.C,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051332.93,303186.15,45.60190710198725,-73.52068941715818
460,{ce46d8c1-4e92-42fa-b259-5ef8c18de1c3},HORS_SDC,Commerce rue,2023/06/13,8653,rue,,De Grosbois,,8653 rue De Grosbois ,,H1K2G4,RC,,Pharmacie Vin The Jimmy Pham,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.uniprix.com/fr/succursales/pham-vinh-the-jimmy-laval,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Dupéré,,Est-de-l'Île,Non,Non,Non,5051672.89,302071.26,45.60496267167936,-73.53498310502475
468,{8f154e9f-c145-4b90-b929-21d0be234d21},HORS_SDC,Commerce rue,2023/06/13,4800,rue,,De Contrecoeur,,4800 rue De Contrecoeur ,2,H1K0K9,RC,,Familiprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.familiprix.com/fr/pharmacies/thi-hong-nhung-nguyen-pharmacienne-inc-4862de18-f1e0-41c7-b60d-4e5a8af13945?section=lab,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Dupéré,,Est-de-l'Île,Non,Non,Non,5052485.1,302525.13,45.61227278510131,-73.5291684130231
471,{09348dc4-dc26-4d9a-be3e-703656c05b72},HORS_SDC,Commerce rue,2023/06/13,9215,rue,,Sherbrooke,E,9215 rue Sherbrooke E,,H1L6K2,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Dupéré,,Centre-Est,Non,Non,Non,5052172.55,302619.57,45.60946068165751,-73.5279561652608
519,{1f4a733b-f71d-4969-a9bc-19a66b4b2684},HORS_SDC,Commerce rue,2023/06/13,5696,rue,,Sherbrooke,E,5696 rue Sherbrooke E,,H1N1A1,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Rampe d'accès,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Non,Non,Non,5048121.84,301021.8,45.57300437219575,-73.54840939483007
561,{20baa8a0-e502-4242-a066-b41e22919ef8},HORS_SDC,Commerce rue,2023/06/13,2678,boulevard,,Lacordaire,,2678 boulevard Lacordaire ,,H1N2M4,RC,,Proximed,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.groupeproxim.ca/fr/quebec/montreal/tran-leung-7032300,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Non,Non,Non,5048001.19,301669.47,45.57192194019088,-73.54011039428997
578,{c2cdfb57-12fa-406a-924c-f44c344abdd6},HORS_SDC,Commerce rue,2023/06/13,6420,rue,,Sherbrooke,E,6420 rue Sherbrooke E,,H1N3P6,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.jeancoutu.com/localisateur-succursale/montreal-6420-rue-sherbrooke-est-h1n-3p6/55/,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Longue-Pointe,,Centre-Est,Non,Non,Non,5048991.45,301402.05,45.58083135535895,-73.54354351563532
723,{b4b8b2ed-5f2f-49f8-9e53-88cc862c4a75},HORS_SDC,Commerce rue,2023/06/07,6455,rue,,Beaubien,E,6455 rue Beaubien E,,H1M1B1,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,uniprix.com,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Louis-Riel,,Centre-Est,Non,Non,Non,5049610.31,299949.75,45.58639143291563,-73.56215973666419
818,{7bbdc64a-654f-40c9-b145-e9cede4b04d3},HORS_SDC,Commerce rue,2023/06/13,5955,rue,,Sherbrooke,E,5955 rue Sherbrooke E,,H1M2M1,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,http://www.pharmaciemorin.ca/?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,Rampe d'accès,Non,,,Mercier–Hochelaga-Maisonneuve,Louis-Riel,,Centre-Est,Non,Non,Non,5048515.93,301106.01,45.57655097039812,-73.54733343920519
819,{faf0d0aa-28d3-4aa2-9d42-ddbd0de7bc0b},HORS_SDC,Commerce rue,2023/06/13,5965,rue,,Sherbrooke,E,5965 rue Sherbrooke E,,H1N1B7,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.pharmaciemorin.ca/?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Louis-Riel,,Centre-Est,Oui,Non,Non,5048521.87,301114.44,45.57660446508085,-73.54722546842004
904,{e4c9069e-7721-44b0-98d0-97d4cb011a96},HORS_SDC,Commerce rue,2023/06/07,5388,rue,,Bélanger,,5388 rue Bélanger ,,H1T1E3,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://pharmaetcie.ca/Stores/pierre-bergeron-pharmacien-inc,Accès au niveau du sol,Non,,,Rosemont–La Petite-Patrie,Marie-Victorin,,Centre-Est,Non,Non,Non,5048664.34,298882.97,45.577871054961605,-73.57581956504075
