,long,lat
74,-73.56671333,45.65515166
95,-73.57119887,45.64595945
145,-73.51111279,45.59319468
191,-73.53485984,45.59533311
241,-73.52252242,45.5974536
262,-73.52644967,45.60960699
374,-73.51733581,45.60516351
405,-73.5202566,45.60141254
417,-73.52068942,45.6019071
460,-73.53498311,45.60496267
468,-73.52916841,45.61227279
471,-73.52795617,45.60946068
519,-73.54840939,45.57300437
561,-73.54011039,45.57192194
578,-73.54354352,45.58083136
723,-73.56215974,45.58639143
818,-73.54733344,45.57655097
819,-73.54722547,45.57660447
904,-73.57581957,45.57787105
949,-73.58571212,45.56725324
982,-73.57852919,45.56358456
986,-73.57607727,45.56612015
1138,-73.53958768,45.55225319
1277,-73.62750198,45.57204886
1287,-73.62674819,45.57185408
1405,-73.60982701,45.56481529
1604,-73.66788815,45.55656738
1668,-73.64328412,45.54817735
1734,-73.65076344,45.55034407
1752,-73.63763207,45.55871435
1872,-73.5993358,45.55958552
2015,-73.58930638,45.5630291
2062,-73.65005484,45.49719532
2143,-73.63498892,45.49348229
2171,-73.63853785,45.49443043
2295,-73.65958717,45.49751517
2430,-73.6326623,45.50074342
2432,-73.63205815,45.50045078
2489,-73.63278746,45.48572586
2519,-73.63016737,45.4830458
2579,-73.62751329,45.48611169
2645,-73.63121675,45.49127756
2726,-73.62754183,45.48498425
2738,-73.62507823,45.47277272
2752,-73.62391189,45.47403647
2838,-73.61791621,45.4698093
2906,-73.60677431,45.47646672
3128,-73.58828179,45.45707844
3170,-73.56241076,45.48288858
3207,-73.56680233,45.47981519
3261,-73.55916776,45.47862908
3285,-73.58457456,45.49665608
3366,-73.56404362,45.51795521
3613,-73.55943175,45.51182384
3833,-73.56005826,45.50642527
3865,-73.55911412,45.50806303
3928,-73.63580727,45.50275106
4049,-73.56080652,45.52341955
4075,-73.5599141,45.5245773
4191,-73.5509096,45.53398481
4246,-73.55537081,45.53039607
4281,-73.55129249,45.52349198
4297,-73.55095526,45.52442796
4429,-73.5521331,45.54615879
4437,-73.54913338,45.55149965
4541,-73.56012742,45.54132589
4650,-73.57256131,45.55257364
4667,-73.57050682,45.55627055
4702,-73.5688675,45.55809452
4730,-73.59579298,45.55468319
4776,-73.58637266,45.54685313
5035,-73.59442716,45.54607479
5074,-73.58939867,45.54327332
5101,-73.5871194,45.54518922
5185,-73.57661846,45.53421036
5236,-73.56057536,45.53883013
5554,-73.57827077,45.51510771
5629,-73.57572542,45.52477344
5861,-73.58390452,45.53363267
5960,-73.57938832,45.53497684
5999,-73.58955604,45.52721127
6272,-73.59419509,45.51868263
6349,-73.59042372,45.52047735
6490,-73.59778835,45.52076328
6614,-73.60481741,45.52303958
6638,-73.60382276,45.52325061
6753,-73.60137027,45.52151117
6779,-73.61583511,45.55206644
6893,-73.60494959,45.55075357
6943,-73.6017205,45.55368069
7196,-73.62500681,45.52496401
7273,-73.62307108,45.52859822
7322,-73.6439499,45.52994616
7341,-73.63619566,45.53103602
7556,-73.61187432,45.53682454
7633,-73.60743333,45.53166112
7855,-73.63171769,45.53930673
7865,-73.62912178,45.54205042
8000,-73.61887616,45.53444649
8069,-73.6171235,45.53569484
8275,-73.61451133,45.53864365
8302,-73.62775467,45.54668531
8365,-73.62895262,45.5436723
8422,-73.61830289,45.54760864
8549,-73.6125412,45.54236464
8576,-73.60867581,45.54658663
8719,-73.60372077,45.5459026
8720,-73.60350883,45.54618149
8868,-73.59982917,45.5399558
8991,-73.60597837,45.53859835
9032,-73.6011705,45.5379649
9138,-73.50396535,45.64184833
9200,-73.50907958,45.65407174
9239,-73.51032859,45.65654861
9267,-73.50828069,45.65814618
9310,-73.49933613,45.66866985
9341,-73.48781803,45.69295845
9414,-73.58558059,45.63371795
9428,-73.585501,45.63527479
9494,-73.57387319,45.6429133
9536,-73.59471235,45.62867893
9575,-73.63896267,45.46645008
9652,-73.62746094,45.46493825
9862,-73.60586292,45.4764287
9870,-73.604974,45.46914282
10043,-73.64852335,45.57393615
10132,-73.64486764,45.57831636
10193,-73.65159801,45.57022363
10235,-73.72072163,45.52751418
10258,-73.72173152,45.53173238
10263,-73.72120404,45.5321907
10311,-73.55937172,45.59890342
10359,-73.57532145,45.60159116
10375,-73.5526609,45.60461216
10388,-73.55058012,45.60444366
10409,-73.58477724,45.60671949
10439,-73.5549435,45.61190283
10500,-73.54717322,45.61013976
10529,-73.55749938,45.594419
10575,-73.61628209,45.51938558
10745,-73.6699495,45.52831755
10760,-73.70154847,45.51931663
10777,-73.69622767,45.51614963
10878,-73.71387558,45.51791952
10897,-73.70268246,45.51857063
10967,-73.61594292,45.60845874
11067,-73.62860533,45.61658582
11085,-73.62796103,45.61794807
11159,-73.62262102,45.61859055
11245,-73.63096111,45.59660978
11294,-73.62039083,45.60262803
11531,-73.60911032,45.59739183
11583,-73.59596859,45.60050183
11689,-73.5921345,45.59289072
11786,-73.57216022,45.58422947
11806,-73.60926203,45.59630964
11833,-73.58796496,45.57258933
11892,-73.59672822,45.57781558
11943,-73.595923,45.58028864
11979,-73.59771419,45.58747478
12012,-73.58807568,45.56940222
12044,-73.58528536,45.57451404
12062,-73.57308501,45.44753266
12089,-73.57681144,45.45282827
12165,-73.57627946,45.46013371
12182,-73.57219681,45.45597581
12319,-73.57181398,45.45535354
12455,-73.54129347,45.46763684
12458,-73.54019519,45.46727414
12483,-73.62014215,45.41711674
12509,-73.64241488,45.42296703
12524,-73.64239665,45.42181433
12528,-73.61311751,45.42516773
12535,-73.6108376,45.42659237
12576,-73.59800254,45.43150147
12612,-73.59775673,45.43236572
12826,-73.63640144,45.43240125
12851,-73.63048147,45.43306659
12866,-73.62768016,45.4337334
13073,-73.63497108,45.42947023
13118,-73.68259384,45.51515281
13181,-73.68126711,45.50173053
13282,-73.57142716,45.50866195
13348,-73.49553683,45.63120936
13430,-73.59276184,45.48181172
13471,-73.60608658,45.47701708
13550,-73.58859078,45.48626504
13579,-73.60259337,45.47838822
13700,-73.64460502,45.45280855
13701,-73.64587394,45.45285256
13769,-73.73595335,45.43954256
13855,-73.74477442,45.44609292
13947,-73.82957484,45.4692106
13961,-73.82671967,45.42863566
14071,-73.82295744,45.46262101
14158,-73.78539994,45.45071189
14186,-73.88183766,45.41987963
14242,-73.86658255,45.45931853
14331,-73.85433713,45.44722988
14387,-73.85369555,45.44864949
14498,-73.84118123,45.48111453
14526,-73.83630658,45.47371344
14673,-73.78464166,45.49758137
14678,-73.79742856,45.48650319
14709,-73.80185164,45.49001628
14746,-73.81869245,45.50488582
14775,-73.62640028,45.52057495
14847,-73.64334011,45.51714194
14912,-73.87719197,45.49420123
15049,-73.65075928,45.58379627
15118,-73.6487948,45.5867726
15130,-73.65089521,45.59043017
15142,-73.63354604,45.58627072
15256,-73.63116018,45.60316263
15280,-73.62630964,45.60488452
15400,-73.70485137,45.52021284
15413,-73.71904315,45.51547449
15419,-73.71302572,45.52458254
15525,-73.67895717,45.53634691
15584,-73.61099686,45.58106954
15608,-73.60477374,45.58403397
15620,-73.66068066,45.50682854
15642,-73.62142549,45.58005444
15684,-73.67531762,45.52023922
15695,-73.66378682,45.50425967
15747,-73.67947051,45.53768281
15749,-73.70687541,45.53272335
15792,-73.61465983,45.47679454
15803,-73.64657476,45.50093104
15908,-73.6259024,45.55301609
15969,-73.69938809,45.53835085
16047,-73.60255604,45.58173655
16073,-73.66249003,45.45981882
16164,-73.66114894,45.45869114
16210,-73.62393284,45.47980132
16299,-73.61480513,45.51117323
16359,-73.61484904,45.49512925
16393,-73.63016856,45.50932981
16461,-73.62825204,45.52976987
16759,-73.5820246,45.57963216
16817,-73.66653628,45.54539486
16833,-73.66600565,45.54637896
16853,-73.6651242,45.54872658
17085,-73.65853017,45.55959985
17235,-73.65387019,45.56777847
17405,-73.57572483,45.54647714
17678,-73.60330413,45.53610791
18029,-73.53470518,45.55018879
18064,-73.53262509,45.55264981
18100,-73.54334092,45.54777775
18134,-73.54297899,45.54821287
18223,-73.54535549,45.54385744
18276,-73.5446295,45.54509601
18350,-73.57924549,45.49401569
18472,-73.57316314,45.49953002
18687,-73.56757495,45.50538853
18856,-73.56457047,45.49353496
19295,-73.55818386,45.51811481
19309,-73.55810649,45.51659429
20013,-73.58639848,45.52024931
20293,-73.57709312,45.51607339
20409,-73.57516493,45.51520585
20577,-73.57318593,45.51935738
20691,-73.58210472,45.52514141
20804,-73.58032735,45.51725803
20853,-73.57976731,45.52233476
21002,-73.5767851,45.53036758
21099,-73.57294969,45.53436189
21145,-73.59752942,45.51789976
21259,-73.67898184,45.51168916
21379,-73.62714578,45.49833666
21426,-73.62459682,45.49719486
21451,-73.61962103,45.49501344
21656,-73.59636648,45.45995312
21674,-73.576141,45.48028469
21675,-73.57700815,45.48170803
21803,-73.59444227,45.45352382
21810,-73.59383531,45.45329819
21842,-73.58365602,45.47800582
22048,-73.58170977,45.4793196
22194,-73.55664428,45.49410424
22276,-73.56393933,45.49374696
22364,-73.56747999,45.45949048
22399,-73.56697834,45.46117714
22505,-73.56691944,45.46209985
22533,-73.5671897,45.4630648
22705,-73.57197729,45.50080802
22708,-73.57744631,45.49522846
23032,-73.58393502,45.49379028
23055,-73.58138804,45.49665562
23074,-73.56063128,45.50078439
23146,-73.95133146,45.40329807
23594,-73.59623272,45.55503189
23656,-73.56521344,45.54228668
23691,-73.57395103,45.54289514
23713,-73.573443,45.55072994
23796,-73.78532065,45.4507003
23908,-73.61716678,45.4429892
23930,-73.56712768,45.57128924
23997,-73.63868734,45.54126616
24105,-73.57290353,45.58263989
24225,-73.60275176,45.57176551
24568,-73.7047754,45.5201701
24608,-73.65431935,45.46017182
25114,-73.64397971,45.52990703
25292,-73.60411666,45.53547989
25318,-73.55798412,45.51670863
25451,-73.89270602,45.45906928
25511,-73.87491015,45.4670204
25598,-73.86745065,45.47939713
25616,-73.86807172,45.46236999
25647,-73.85936813,45.48490786
25658,-73.85791985,45.48492068
25671,-73.8524639,45.49085441
25768,-73.84029182,45.50324933
25788,-73.81895915,45.50674703
25975,-73.77955913,45.50379375
25980,-73.77939354,45.50369041
26002,-73.77747902,45.50532928
26104,-73.69017113,45.43627816
26125,-73.69084292,45.43415384
26205,-73.67433679,45.44174637
26247,-73.67437034,45.43512247
26297,-73.68697423,45.43658903
26461,-73.64738014,45.44430131
26470,-73.67443674,45.43512341
26543,-73.58784271,45.48729592
26658,-73.56457945,45.60071501
26805,-73.83131902,45.46391075
26972,-73.5419594,45.59232449
27128,-73.64801797,45.52844156
27170,-73.70644114,45.49873893
27336,-73.6154996,45.44770479
27380,-73.61697243,45.60618823
27458,-73.7922022,45.48331404
27515,-73.57077791,45.59222208
27574,-73.51292751,45.65493249
27667,-73.56769769,45.59801345
27685,-73.54142137,45.58172514
27723,-73.6332028,45.58907364
27772,-73.58843597,45.56705419
27839,-73.69758342,45.53648727
27903,-73.62552756,45.50924241
27983,-73.66604234,45.47581059
28025,-73.69013616,45.43922461
28067,-73.74331591,45.4447207
28113,-73.81397328,45.44534309
28163,-73.84845019,45.43247636
28212,-73.91786445,45.41738896
28272,-73.67428587,45.52018762
28298,-73.65548165,45.46570045
28323,-73.62354957,45.6237513
28365,-73.57473911,45.51050018
28440,-73.58587102,45.48911891
28501,-73.59393785,45.57521839
28524,-73.62055746,45.60537322
28659,-73.56417762,45.50149972
28798,-73.55923024,45.51627555
28972,-73.56441895,45.50744071
29188,-73.57133881,45.50316054
29240,-73.56730434,45.50050494
29266,-73.56864655,45.50158945
29509,-73.80267748,45.48456046
