,long,lat
3,-73.56541036,45.49195177
52,-73.56710281,45.65487887
61,-73.56150274,45.65024679
62,-73.56100796,45.64984321
67,-73.55438485,45.64436485
69,-73.56216122,45.65074943
72,-73.5540122,45.64411893
92,-73.57002635,45.64579668
93,-73.57198115,45.64582903
96,-73.57180508,45.6459911
97,-73.57085032,45.64607403
103,-73.57107203,45.64639333
109,-73.5784395,45.6492952
124,-73.53702672,45.65232522
144,-73.51108136,45.59303289
164,-73.51217326,45.59967289
171,-73.51282613,45.60369351
190,-73.53491631,45.59523609
194,-73.53470773,45.59558979
195,-73.53464588,45.59569068
196,-73.53459748,45.59577375
212,-73.52584478,45.59145769
215,-73.5249256,45.59354946
222,-73.53046097,45.6033405
223,-73.53043064,45.60343598
225,-73.53024118,45.6036887
226,-73.53015939,45.60393258
229,-73.52481228,45.59378776
254,-73.52740915,45.60849701
257,-73.52662283,45.60897059
259,-73.52655367,45.60912466
264,-73.52638651,45.60943442
272,-73.5280406,45.60755204
286,-73.52109976,45.59884788
292,-73.52137913,45.59932573
310,-73.51952636,45.60155844
313,-73.5194041,45.60168039
323,-73.51888062,45.60142943
325,-73.51832833,45.60124883
330,-73.52996049,45.60428419
348,-73.5191286,45.60235297
349,-73.51904016,45.60240337
353,-73.51886564,45.60261387
358,-73.51853086,45.60318964
360,-73.51900854,45.60327792
366,-73.51867263,45.6039227
369,-73.51770593,45.60438591
372,-73.5181991,45.60478283
376,-73.51777718,45.60552517
394,-73.52019282,45.60049752
401,-73.52055825,45.60076893
402,-73.52052135,45.60082158
411,-73.52129623,45.60179055
421,-73.52048487,45.59992167
458,-73.53493199,45.60502091
464,-73.53117231,45.60378941
469,-73.52887247,45.61222184
472,-73.5275451,45.60992203
474,-73.52745417,45.61011174
477,-73.52880715,45.6075936
485,-73.53056278,45.60456442
486,-73.53042138,45.60480282
498,-73.52386382,45.56266451
499,-73.52293793,45.56523912
513,-73.54882821,45.57238412
514,-73.54874565,45.57248125
515,-73.54867888,45.5725996
525,-73.5479774,45.57455272
526,-73.5639901,45.52886725
536,-73.54685289,45.57602702
537,-73.54678337,45.57628049
545,-73.54574167,45.57752614
555,-73.54398917,45.57998363
571,-73.54381214,45.58022171
572,-73.54377642,45.58025933
575,-73.54369655,45.58038318
579,-73.54236653,45.58304682
581,-73.54227399,45.58319605
590,-73.5416472,45.58455007
602,-73.53999293,45.5873027
603,-73.53995607,45.58735995
604,-73.53990537,45.58743456
608,-73.53997568,45.58764255
609,-73.53961395,45.58799552
610,-73.53944641,45.58154353
613,-73.53933094,45.58171112
614,-73.53910611,45.58198294
650,-73.53084722,45.58134749
653,-73.53192483,45.58054248
662,-73.53734778,45.57068705
665,-73.53683434,45.57215934
684,-73.53546814,45.57414543
685,-73.53543006,45.57348227
687,-73.55972407,45.58884549
715,-73.56186973,45.58522919
719,-73.5617154,45.58543803
724,-73.56116554,45.58642148
729,-73.56098859,45.58668298
741,-73.56077941,45.58701342
750,-73.56174235,45.5872195
751,-73.56170781,45.58727792
753,-73.56168401,45.58731672
755,-73.56164909,45.58737576
757,-73.56160189,45.58745461
764,-73.56035774,45.58781215
766,-73.56029481,45.58793114
772,-73.56014243,45.5881713
786,-73.55977205,45.5887715
805,-73.54996986,45.57810224
808,-73.54873022,45.57463797
813,-73.54824175,45.57518249
815,-73.54813078,45.57531616
817,-73.54794037,45.57561219
821,-73.54582484,45.57911269
824,-73.5455884,45.5795537
828,-73.54518649,45.58027759
829,-73.54516654,45.58031755
831,-73.54511893,45.58039145
832,-73.5450955,45.58041773
